dataset,kir,seed,representation,gold_is_oos,n,score_mean,score_p10,score_p50,score_p90,score_p95,score_p99,score_leq_1_rate
stackoverflow,0.5,13,trainable,1,3000,1.1525824588413425,0.9632798259055556,1.1659593710010001,1.3271346351523812,1.3637063219194574,1.437731828951146,0.133
stackoverflow,0.5,42,frozen,0,3000,0.9068471854234109,0.8018968865124746,0.9032540783029384,1.0137544142008936,1.0270867475497847,1.0470569189901238,0.838
stackoverflow,0.5,42,frozen,1,3000,1.0215800865602518,0.9837290271268019,1.027290080458839,1.0584499515617634,1.0653204280677728,1.0737490675352643,0.193
stackoverflow,0.5,42,trainable,0,3000,0.8093110818321589,0.6287293114271363,0.7578611378502751,1.1062452918601746,1.187924241649245,1.3052142381077319,0.835
stackoverflow,0.5,42,trainable,1,3000,1.1978124216740955,1.0069967796259922,1.1962343301974494,1.4040477393652282,1.47557469435287,1.5740109041734214,0.093
stackoverflow,0.5,87,frozen,0,3000,0.9061404296003309,0.7916186120767296,0.9046833207596101,1.0267354556328092,1.0495328092591418,1.075243321782651,0.838
stackoverflow,0.5,87,frozen,1,3000,1.0226075731187387,0.9689861777367125,1.0278902956770337,1.072591526021898,1.0782360804590816,1.09185180318047,0.25633333333333336
stackoverflow,0.5,87,trainable,0,3000,0.7955596893401549,0.5959085933812593,0.7381413518022949,1.13948393663474,1.2414791430349317,1.3746570631227442,0.84
stackoverflow,0.5,87,trainable,1,3000,1.2055114875415072,0.9901677038027731,1.2143082069404891,1.4049423205797518,1.454440141806674,1.5257266730682861,0.10833333333333334
stackoverflow,0.5,100,frozen,0,3000,0.9079067786400247,0.7929272118318917,0.9060032725081589,1.0284019182456507,1.0467034255547214,1.0686012246768164,0.824
stackoverflow,0.5,100,frozen,1,3000,1.0301427268209182,0.9914625384452312,1.0356487722205225,1.0639113259043573,1.070350142971938,1.0824673704515613,0.14833333333333334
stackoverflow,0.5,100,trainable,0,3000,0.8671113639731443,0.7229169573968108,0.8418768375647225,1.0830664991995997,1.1409152425661684,1.2132924810390253,0.8353333333333334
stackoverflow,0.5,100,trainable,1,3000,1.1580752499892364,1.0450483638807133,1.1669470543909715,1.261709404561646,1.2828987678300072,1.315842871280258,0.044
stackoverflow,0.5,123,frozen,0,3000,0.9124399045096158,0.7881302999812628,0.9272265159711306,1.0118859558691118,1.027587614975861,1.0493755018037167,0.838
stackoverflow,0.5,123,frozen,1,3000,1.01279961741232,0.9668116549868535,1.0179117216320475,1.0545375366199048,1.0627731269347833,1.0722311066174348,0.30666666666666664
stackoverflow,0.5,123,trainable,0,3000,0.7869309929671762,0.5906106208933369,0.7242260701456704,1.1365918051993051,1.250456200913179,1.3890191105880603,0.8416666666666667
stackoverflow,0.5,123,trainable,1,3000,1.20568284338699,1.0131206812722482,1.2257328182474307,1.372650814679735,1.4137670152972395,1.4883836045579282,0.08866666666666667
stackoverflow,0.75,13,frozen,0,4500,0.9109351297706908,0.800083182669918,0.9148028647662785,1.0130004055227289,1.027587614975861,1.0486469471400384,0.8424444444444444
stackoverflow,0.75,13,frozen,1,1500,1.010533957034699,0.9644286162120066,1.0133456898514202,1.0569300285612053,1.0644144011428884,1.0712954578599627,0.35933333333333334
stackoverflow,0.75,13,trainable,0,4500,0.7866850819259277,0.5918786454401747,0.7280756887722002,1.1214281725959212,1.2125782075085456,1.3306143574552864,0.8437777777777777
