dataset,kir,seed,component,oos_f1,f1_all,id_recall,false_accept_rate,effective_cluster_count,base_oos_f1,base_f1_all,base_id_recall,base_false_accept_rate,base_effective_cluster_count,delta_oos_vs_mogb_default,delta_f1_all_vs_mogb_default,delta_id_recall_vs_mogb_default,delta_false_accept_vs_mogb_default
banking77,0.25,123,euclidean_mean_std,0.9147286821705426,0.7198075921124208,0.6447368421052632,0.059051724137931,48.0,0.9000786782061369,0.5358531719953024,0.3736842105263158,0.0137931034482758,48.0,0.014650003964405744,0.1839544201171185,0.2710526315789474,0.0452586206896552
banking77,0.25,123,mahalanobis_diag_mean,0.9000786782061369,0.5358531719953024,0.3736842105263158,0.0137931034482758,48.0,0.9000786782061369,0.5358531719953024,0.3736842105263158,0.0137931034482758,48.0,0.0,0.0,0.0,0.0
banking77,0.25,123,mahalanobis_diag_mean_std,0.9153033754400496,0.7020024785083341,0.6065789473684211,0.0474137931034482,48.0,0.9000786782061369,0.5358531719953024,0.3736842105263158,0.0137931034482758,48.0,0.015224697233912732,0.16614930651303172,0.23289473684210532,0.0336206896551724
banking77,0.5,13,euclidean_mean,0.7496965282835639,0.4863692965093084,0.3322368421052631,0.0102564102564102,102.0,0.7415031115366204,0.4463962547752817,0.2967105263157894,0.007051282051282,102.0,0.008193416746943516,0.03997304173402666,0.035526315789473684,0.003205128205128199
banking77,0.5,13,euclidean_mean_std,0.7958684425115521,0.6794414508374143,0.569078947368421,0.0615384615384615,102.0,0.7415031115366204,0.4463962547752817,0.2967105263157894,0.007051282051282,102.0,0.05436533097493168,0.23304519606213253,0.2723684210526316,0.0544871794871795
banking77,0.5,13,mahalanobis_diag_mean,0.7415031115366204,0.4463962547752817,0.2967105263157894,0.007051282051282,102.0,0.7415031115366204,0.4463962547752817,0.2967105263157894,0.007051282051282,102.0,0.0,0.0,0.0,0.0
banking77,0.5,13,mahalanobis_diag_mean_std,0.7925322114120431,0.6440544487832364,0.5157894736842106,0.0339743589743589,102.0,0.7415031115366204,0.4463962547752817,0.2967105263157894,0.007051282051282,102.0,0.0510290998754227,0.19765819400795465,0.21907894736842115,0.026923076923076904
banking77,0.5,42,euclidean_mean,0.7435712569093967,0.4544525439718033,0.306578947368421,0.0083333333333333,94.0,0.7387687188019967,0.4231987797145826,0.2809210526315789,0.0038461538461538,94.0,0.004802538107400056,0.031253764257220706,0.025657894736842102,0.004487179487179501
banking77,0.5,42,euclidean_mean_std,0.7940939597315436,0.661437117505125,0.5486842105263158,0.0519230769230769,94.0,0.7387687188019967,0.4231987797145826,0.2809210526315789,0.0038461538461538,94.0,0.05532524092954694,0.23823833779054243,0.26776315789473687,0.0480769230769231
banking77,0.5,42,mahalanobis_diag_mean,0.7387687188019967,0.4231987797145826,0.2809210526315789,0.0038461538461538,94.0,0.7387687188019967,0.4231987797145826,0.2809210526315789,0.0038461538461538,94.0,0.0,0.0,0.0,0.0
banking77,0.5,42,mahalanobis_diag_mean_std,0.7882906429691584,0.6245478450630955,0.5013157894736842,0.0333333333333333,94.0,0.7387687188019967,0.4231987797145826,0.2809210526315789,0.0038461538461538,94.0,0.049521924167161724,0.20134906534851288,0.22039473684210525,0.029487179487179497
banking77,0.5,87,euclidean_mean,0.7592275727206063,0.511439502557496,0.3565789473684211,0.0044871794871794,87.0,0.7525997581620314,0.478918275501595,0.3296052631578947,0.0025641025641025,87.0,0.006627814558574863,0.03252122705590105,0.026973684210526427,0.0019230769230769002
